year,county,arabic,chinese_incl_mandarin_cantonese,french_haitian_or_cajun,german_or_other_west_germanic_languages,korean,other_asian_and_pacific_island_languages,other_indo_european_languages,other_and_unspecified_languages,russian_polish_or_other_slavic_languages,spanish,speak_only_english,tagalog_incl_filipino,vietnamese
2021,Alamance,365,159,490,296,69,515,949,309,199,17811,137632,408,250
2021,Alexander,0,49,29,210,0,128,118,14,12,1589,32736,6,0
2021,Alleghany,0,0,0,0,0,29,8,0,1,708,9710,0,0
2021,Anson,0,15,4,46,148,50,2,2,7,866,20126,0,0
2021,Ashe,0,0,15,10,10,31,23,7,24,1004,24313,2,93
2021,Avery,0,1,85,48,3,8,37,26,33,674,16200,18,0
2021,Beaufort,0,50,27,88,0,0,28,3,0,2816,39607,0,111
2021,Bertie,0,77,14,54,0,18,6,27,11,199,16912,25,0
2021,Bladen,0,9,42,139,3,33,0,8,0,1844,26495,0,0
2021,Brunswick,142,203,243,414,51,16,406,23,180,4284,122784,52,0
2021,Buncombe,81,583,744,487,163,362,1842,71,2364,13574,233621,297,56
2021,Burke,331,154,58,85,0,1897,289,315,20,4599,75838,15,47
2021,Cabarrus,318,915,984,245,141,2953,3485,694,584,16017,180530,324,292
2021,Caldwell,70,94,87,153,13,125,260,0,141,3375,72253,65,0
2021,Camden,68,45,51,0,0,0,44,0,0,99,9381,12,90
2021,Carteret,25,67,232,394,10,72,165,79,28,2077,61772,75,221
2021,Caswell,0,0,136,12,0,76,0,0,0,646,20824,52,6
2021,Catawba,47,231,313,350,15,4474,487,82,225,13349,131047,70,359
2021,Chatham,116,389,161,287,53,146,407,44,196,8412,61231,94,65
2021,Cherokee,0,20,7,0,0,62,104,16,15,650,26584,5,0
2021,Chowan,29,0,43,6,0,0,69,18,7,247,12630,0,0
2021,Clay,0,0,55,0,0,24,22,0,15,138,10268,0,29
2021,Cleveland,9,39,153,90,0,276,242,0,184,3096,89025,140,0
2021,Columbus,27,0,200,50,0,86,126,23,0,2579,45600,45,34
2021,Craven,48,92,214,232,99,1450,207,73,162,5138,87154,173,53
2021,Cumberland,948,478,1470,1770,2033,1926,1604,1227,317,23376,271762,884,906
2021,Currituck,0,21,6,40,39,50,55,0,14,971,24928,6,0
2021,Dare,1,17,204,296,0,8,145,1,49,2496,31967,26,16
2021,Davidson,68,219,178,307,176,989,612,42,143,9762,145686,610,117
2021,Davie,37,0,51,163,0,12,218,15,35,2521,37334,27,34
2021,Duplin,44,0,535,50,85,0,134,0,30,9468,36443,5,3
2021,Durham,1440,3625,1597,847,1004,2698,4109,2698,620,34885,245153,839,759
